Timestamp, Temp(C), Humidity(%), TVOC(ppb)
2026-01-05 12:00, 15.0, 55.2, 310
2026-01-05 12:05, 15.1, 54.7, 305
2026-01-05 12:10, 15.0, 54.1, 300
2026-01-05 12:15, 14.9, 53.8, 298
2026-01-05 12:20, 14.8, 52.9, 296
2026-01-05 12:25, 14.9, 52.5, 295
2026-01-05 12:30, 15.2, 53.1, 302
2026-01-05 12:35, 15.3, 54.0, 308
2026-01-05 12:40, 15.4, 54.8, 315
2026-01-05 12:45, 15.5, 55.7, 320
2026-01-05 12:50, 15.4, 55.2, 315
2026-01-05 12:55, 15.3, 54.6, 310
2026-01-05 13:00, 15.2, 54.3, 308
2026-01-05 13:05, 15.1, 53.9, 305
2026-01-05 13:10, 15.0, 53.4, 300
2026-01-05 13:15, 15.1, 52.8, 298
2026-01-05 13:20, 15.2, 52.0, 295
2026-01-05 13:25, 15.0, 51.3, 292
2026-01-05 13:30, 14.9, 50.9, 289
2026-01-05 13:35, 14.8, 50.3, 285
2026-01-05 13:40, 14.7, 49.8, 283
2026-01-05 13:45, 14.8, 50.4, 288
2026-01-05 13:50, 14.9, 51.0, 292
2026-01-05 13:55, 15.0, 51.8, 297
2026-01-05 14:00, 15.2, 52.6, 301
2026-01-05 14:05, 15.3, 53.1, 306
2026-01-05 14:10, 15.4, 53.9, 310
2026-01-05 14:15, 15.6, 54.5, 315
2026-01-05 14:20, 15.7, 55.1, 322
2026-01-05 14:25, 15.6, 55.8, 328
2026-01-05 14:30, 15.5, 56.3, 330
2026-01-05 14:35, 15.4, 56.0, 327
2026-01-05 14:40, 15.3, 55.7, 323
2026-01-05 14:45, 15.2, 55.0, 318
2026-01-05 14:50, 15.1, 54.3, 313
2026-01-05 14:55, 15.0, 53.8, 308
